Kerala,1826,2554,3466,4771,7680,8267,15935,,Population in Urban Area
Madhya Pradesh,2769,3865,5577,8528,12274,15967,20069,,Population in Urban Area
Maharashtra,9201,11163,15711,21994,30542,41101,50818,,Population in Urban Area
Manipur,3,68,141,375,506,576,834,,Population in Urban Area
Meghalaya,59,117,147,241,330,454,595,,Population in Urban Area
Mizoram,7,14,38,122,318,441,572,,Population in Urban Area
galand,4,19,51,120,208,343,571,,Population in Urban Area
Odisha,594,1110,1845,3110,4235,5517,7004,,Population in Urban Area
Puducherry,,89,198,316,517,649,850,,Population in Urban Area
Punjab,1989,2567,3216,4648,5993,8263,10399,,Population in Urban Area
Rajasthan,2955,3281,4544,7211,10067,13214,17048,,Population in Urban Area
Sikkim,3,7,20,51,37,60,154,,Population in Urban Area
Tamil du,7334,8991,12465,15952,19078,27484,34917,,Population in Urban Area
Tripura,43,103,162,226,422,546,961,,Population in Urban Area
Uttar Pradesh,8225,8984,11654,18750,25972,34540,44495,,Population in Urban Area
Uttarakhand,401,496,735,1149,1634,2179,3049,,Population in Urban Area
West Bengal,6282,8541,10967,14447,18708,22427,29093,,Population in Urban Area
Andaman & Nicobar Island,,105.19,81.17,63.93,48.7,26.9,6.68,,Decadal Growth
Andhra Pradesh,,15.65,20.9,23.1,24.2,14.59,11.1,,Decadal Growth
Aruchal Pradesh,,,38.91,35.15,36.83,27,25.92,,Decadal Growth
Assam,,34.98,34.95,23.36,24.24,18.92,16.93,,Decadal Growth
Bihar,,19.79,20.91,24.16,23.38,28.62,25.07,,Decadal Growth
Chandigarh,,394.13,114.59,75.55,42.16,40.28,17.1,,Decadal Growth
Chhattisgarh,,22.77,27.12,20.39,25.73,18.27,22.59,,Decadal Growth
Goa,,7.77,34.77,26.74,16.08,15.21,8.17,,Decadal Growth
Gujarat,,26.88,29.39,27.67,21.19,22.66,19.17,,Decadal Growth
Harya,,33.79,32.22,28.75,27.41,28.43,19.9,,Decadal Growth
Himachal Pradesh,,17.87,23.04,23.71,20.79,17.54,12.81,,Decadal Growth
Jammu & Kashmir,,9.44,29.65,29.69,30.89,29.43,23.71,,Decadal Growth
Jharkhand,,19.69,22.58,23.79,24.03,23.36,22.34,,Decadal Growth
Kartaka,,21.57,24.22,26.75,21.12,17.51,15.67,,Decadal Growth
Kerala,,24.76,26.29,19.24,14.32,9.43,4.86,,Decadal Growth
Madhya Pradesh,,24.73,29.28,27.16,27.24,24.26,20.3,,Decadal Growth
Maharashtra,,23.6,27.45,24.54,25.73,22.73,15.99,,Decadal Growth
Manipur,,35.04,37.53,32.46,29.29,24.86,18.65,,Decadal Growth
Meghalaya,,27.03,31.5,32.04,32.86,30.65,27.82,,Decadal Growth
Mizoram,,35.61,24.93,48.55,39.7,28.82,22.78,,Decadal Growth
galand,,14.07,39.88,50.05,56.08,64.53,-0.47,,Decadal Growth
Odisha,,19.82,25.05,20.17,20.06,16.25,13.97,,Decadal Growth
Puducherry,,16.34,27.81,28.15,33.64,20.62,27.72,,Decadal Growth
Punjab,,21.56,21.7,23.89,20.81,20.1,13.73,,Decadal Growth
Rajasthan,,26.2,27.83,32.97,28.44,28.41,21.44,,Decadal Growth
Sikkim,,17.76,29.38,50.77,28.47,33.06,12.36,,Decadal Growth
Tamil du,,11.85,22.3,17.5,15.39,11.72,15.6,,Decadal Growth
Tripura,,78.71,36.28,31.92,34.3,16.03,14.75,,Decadal Growth
Uttar Pradesh,,16.38,19.54,25.39,25.61,25.85,20.09,,Decadal Growth
Uttarakhand,,22.57,24.42,27.45,23.13,20.41,19.17,,Decadal Growth
West Bengal,,32.8,26.87,23.17,24.73,17.77,13.93,,Decadal Growth
Andaman & Nicobar Island,625,617,644,760,818,846,876,,Sex Ratio
Andhra Pradesh,986,981,977,975,972,978,993,,Sex Ratio
Aruchal Pradesh,,894,861,862,859,893,938,,Sex Ratio
